Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A734218,Saki,10/09/2016 14:42,10/09/2016 14:42,1515 Wickersham Lane in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Australian Shepherd/Labrador Retriever,Chocolate/White,Saki,09/21/2016 12:28:00 PM,09/21/2016 12:28:00 PM,09/03/2015,Dog,Neutered Male,1 year,Australian Shepherd/Labrador Retriever,Chocolate/White,0
A720946,*Bart,02/18/2016 12:55:00 PM,02/18/2016 12:55:00 PM,1906 Millhouse Dr in Travis (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Rottweiler Mix,Tricolor,*Bart,02/21/2016 12:00:00 AM,02/21/2016 12:00:00 AM,12/03/2015,Dog,Neutered Male,2 months,Rottweiler Mix,Tricolor,0
A677624,*Claire,04/27/2014 11:23:00 AM,04/27/2014 11:23:00 AM,13096 N 183 in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,*Claire,06/21/2014 02:51:00 PM,06/21/2014 02:51:00 PM,03/22/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,0
A711852,*Chopin,11/12/2015 14:38,11/12/2015 14:38,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,*Chopin,11/13/2015 01:29:00 PM,11/13/2015 01:29:00 PM,08/16/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,0
A777114,,07/23/2018 04:48:00 PM,07/23/2018 04:48:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Black,,07/24/2018 03:13:00 PM,07/24/2018 03:13:00 PM,05/30/2018,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Black,0
A744468,Sadie,03/02/2017 11:13,03/02/2017 11:13,Austin (TX),Public Assist,Normal,Cat,Spayed Female,8 years,Domestic Longhair Mix,Tortie,Sadie,03/08/2017 11:21,03/08/2017 11:21,03/01/2009,Cat,Spayed Female,8 years,Domestic Longhair Mix,Tortie,0
A764104,,12/21/2017 03:43:00 PM,12/21/2017 03:43:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Black/White,,12/26/2017 05:24:00 PM,12/26/2017 05:24:00 PM,12/21/2016,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White,0
A739457,*Mikal,12/03/2016 12:31,12/03/2016 12:31,1708 Thousand Oaks Circle in Austin (TX),Stray,Sick,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Black,*Mikal,12/17/2016 05:53:00 PM,12/17/2016 05:53:00 PM,12/03/2014,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black,0
A807564,,10/26/2019 01:57:00 PM,10/26/2019 01:57:00 PM,Burleson Road And East Ben White Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Siberian Husky/Catahoula,Black/White,,10/31/2019 05:27:00 PM,10/31/2019 05:27:00 PM,10/26/2017,Dog,Neutered Male,2 years,Siberian Husky/Catahoula,Black/White,0
A733238,Cassius,08/22/2016 08:46:00 AM,08/22/2016 08:46:00 AM,Alf Ave And Saucedo St in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,Cassius,08/26/2016 12:21:00 PM,08/26/2016 12:21:00 PM,08/19/2015,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,0
A702175,,05/10/2015 12:11,05/10/2015 12:11,1001 E Ben White Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,American Bulldog Mix,Blue/White,,05/16/2015 10:50:00 AM,05/16/2015 10:50:00 AM,05/10/2011,Dog,Neutered Male,4 years,American Bulldog Mix,Blue/White,0
A675504,Timmy,03/28/2014 01:46:00 PM,03/28/2014 01:46:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue Tabby/White,Timmy,04/13/2014 01:14:00 PM,04/13/2014 01:14:00 PM,09/28/2009,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue Tabby/White,0
A772203,Roxy,05/16/2018 12:10:00 PM,05/16/2018 12:10:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/Black,Roxy,05/27/2018 06:52:00 PM,05/27/2018 06:52:00 PM,05/16/2016,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Black,0
A741477,*Dakota,01/02/2017 16:30,01/02/2017 16:30,1511 Faro Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Pit Bull Mix,Brown Brindle/White,*Dakota,01/12/2017 15:30,01/12/2017 15:30,11/09/2016,Dog,Intact Female,2 months,Pit Bull Mix,Brown Brindle/White,0
A751696,*Sparky,06/11/2017 14:33,06/11/2017 14:33,N Lamar Blvd & Payton Gin Rd in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Labrador Retriever Mix,Black/White,*Sparky,06/23/2017 06:16:00 PM,06/23/2017 06:16:00 PM,12/11/2016,Dog,Neutered Male,6 months,Labrador Retriever Mix,Black/White,0
A765578,*Clementino,01/23/2018 09:13:00 AM,01/23/2018 09:13:00 AM,5461 Highway 71 in Austin (TX),Public Assist,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby,*Clementino,02/03/2018 16:54,02/03/2018 16:54,01/23/2017,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,0
A754256,Prince,07/18/2017 10:59:00 AM,07/18/2017 10:59:00 AM,2305 Burleson Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Red/Black,Prince,07/22/2017 12:44:00 PM,07/22/2017 12:44:00 PM,07/18/2015,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Red/Black,0
A693411,*Buttons,12/07/2014 13:18,12/07/2014 13:18,16701 Pearce Ln in Del Valle (TX),Stray,Normal,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Chocolate/Tan,*Buttons,12/17/2014 12:07:00 PM,12/17/2014 12:07:00 PM,12/07/2004,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Chocolate/Tan,0
A690783,*Anna,10/26/2014 08:37:00 AM,10/26/2014 08:37:00 AM,Westgate & 290 in Austin (TX),Stray,Normal,Cat,Intact Female,5 weeks,Domestic Shorthair Mix,Brown Tabby,*Anna,12/23/2014 04:53:00 PM,12/23/2014 04:53:00 PM,09/21/2014,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,0
A799726,Oreo,09/22/2019 11:34:00 AM,09/22/2019 11:34:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Alaskan Husky,Black/White,Oreo,09/24/2019 05:26:00 PM,09/24/2019 05:26:00 PM,12/15/2017,Dog,Neutered Male,1 year,Alaskan Husky,Black/White,0
A756752,,08/24/2017 04:34:00 PM,08/24/2017 04:34:00 PM,Cherico Street in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Tan/White,,08/28/2017 01:11:00 PM,08/28/2017 01:11:00 PM,08/24/2016,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Tan/White,0
A714879,,10/29/2015 11:51:00 AM,10/29/2015 11:51:00 AM,2222 And 620 in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Brown/Brown,,11/05/2015 00:00,11/05/2015 00:00,10/29/2014,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Brown/Brown,0
A794570,*Sally,05/09/2019 17:42,05/09/2019 17:42,6106 Sadler Ln in Austin (TX),Stray,Nursing,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby,*Sally,06/29/2019 05:31:00 PM,06/29/2019 05:31:00 PM,05/09/2018,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby,0
A708859,Sassy,08/01/2015 14:57,08/01/2015 14:57,605 Canyon Rim Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Pit Bull/Chinese Sharpei,White/Black,Sassy,08/02/2015 12:20,08/02/2015 12:20,08/01/2012,Dog,Spayed Female,3 years,Pit Bull/Chinese Sharpei,White/Black,0
A774344,,06/13/2018 06:32:00 PM,06/13/2018 06:32:00 PM,10911 Maha Loop Road in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby,,06/14/2018 04:09:00 PM,06/14/2018 04:09:00 PM,05/29/2018,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby,0
A791285,Maverick,03/23/2019 05:42:00 PM,03/23/2019 05:42:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White,Maverick,03/25/2019 05:23:00 PM,03/25/2019 05:23:00 PM,11/10/2018,Dog,Neutered Male,4 months,Labrador Retriever Mix,Black/White,0
A706906,*Poe,07/05/2015 11:24,07/05/2015 11:24,4210 S Congress Ave in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,*Poe,01/19/2016 03:13:00 PM,01/19/2016 03:13:00 PM,05/20/2015,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black,0
A810905,,12/22/2019 02:31:00 PM,12/22/2019 02:31:00 PM,7800 Croftwood Drive in Austin (TX),Stray,Normal,Other,Unknown,1 year,Guinea Pig,Tricolor,,12/28/2019 12:30:00 PM,12/28/2019 12:30:00 PM,12/22/2018,Other,Unknown,1 year,Guinea Pig,Tricolor,0
A800900,,07/28/2019 03:33:00 PM,07/28/2019 03:33:00 PM,508 Springdale in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Cream Tabby,,07/28/2019 07:15:00 PM,07/28/2019 07:15:00 PM,07/13/2019,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Cream Tabby,0
A688716,Jorgo,09/22/2014 05:25:00 PM,09/22/2014 05:25:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,11 months,Chihuahua Shorthair Mix,Tan,Jorgo,09/24/2014 06:09:00 PM,09/24/2014 06:09:00 PM,10/22/2013,Dog,Neutered Male,11 months,Chihuahua Shorthair Mix,Tan,0
A791927,*Pistachio,04/03/2019 10:07,04/03/2019 10:07,13201 Piland Triangle in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Plott Hound Mix,Brown Brindle,*Pistachio,05/04/2019 14:46,05/04/2019 14:46,02/16/2019,Dog,Neutered Male,2 months,Plott Hound Mix,Brown Brindle,0
A715889,,11/12/2015 07:09,11/12/2015 07:09,1806 Quanah Parker in Travis (TX),Stray,Injured,Dog,Intact Male,3 years,Patterdale Terr Mix,Black/White,,11/19/2015 05:05:00 PM,11/19/2015 05:05:00 PM,11/12/2012,Dog,Neutered Male,3 years,Patterdale Terr Mix,Black/White,0
A768439,,03/19/2018 02:53:00 PM,03/19/2018 02:53:00 PM,1529 Lady Grey Avenue in Pflugerville (TX),Stray,Normal,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby/White,,03/20/2018 09:01:00 AM,03/20/2018 09:01:00 AM,09/19/2017,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby/White,1
A696813,*Miles,02/12/2015 16:43,02/12/2015 16:43,6512 E Hill Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Brown Tabby,*Miles,03/11/2015 14:01,03/11/2015 14:01,02/15/2007,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby,0
A769149,Henry,03/31/2018 11:58:00 AM,03/31/2018 11:58:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Shih Tzu Mix,White/Black,Henry,03/31/2018 05:23:00 PM,03/31/2018 05:23:00 PM,03/31/2016,Dog,Neutered Male,2 years,Shih Tzu Mix,White/Black,0
A683589,,07/12/2014 14:29,07/12/2014 14:29,Outside Jurisdiction,Stray,Nursing,Cat,Intact Female,6 days,Siamese Mix,White/Lynx Point,,07/12/2014 16:19,07/12/2014 16:19,07/06/2014,Cat,Intact Female,6 days,Siamese Mix,White/Lynx Point,0
A808882,,11/15/2019 02:51:00 PM,11/15/2019 02:51:00 PM,Travis (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby,,11/17/2019 11:35:00 AM,11/17/2019 11:35:00 AM,09/10/2019,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby,0
A717955,*Goshee,12/18/2015 02:42:00 PM,12/18/2015 02:42:00 PM,Comal And 13Th in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown Brindle/White,*Goshee,02/10/2016 16:29,02/10/2016 16:29,12/18/2014,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White,0
A705745,Kara,06/20/2015 05:08:00 PM,06/20/2015 05:08:00 PM,Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,Kara,07/12/2015 15:11,07/12/2015 15:11,04/28/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,0
A774108,*Gidget,06/10/2018 13:33,06/10/2018 13:33,10100 S Mary Moore Searight Dr in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Labrador Retriever Mix,Tan/White,*Gidget,06/18/2018 06:50:00 PM,06/18/2018 06:50:00 PM,11/10/2017,Dog,Spayed Female,7 months,Labrador Retriever Mix,Tan/White,0
A811297,*Bourbon,12/31/2019 03:08:00 PM,12/31/2019 03:08:00 PM,5017 West Highway 290 in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chow Chow Mix,Red/White,*Bourbon,01/07/2020 19:20,01/07/2020 19:20,12/31/2017,Dog,Spayed Female,2 years,Chow Chow Mix,Red/White,0
A700638,*Tippy,04/17/2015 11:54:00 AM,04/17/2015 11:54:00 AM,Amherst Dr And W Palmer Ln in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,*Tippy,05/13/2015 05:15:00 PM,05/13/2015 05:15:00 PM,03/03/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,0
A731154,*Kinga,09/10/2016 12:19,09/10/2016 12:19,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black,*Kinga,09/19/2016 04:20:00 PM,09/19/2016 04:20:00 PM,05/15/2016,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black,0
A679871,Cindy,05/27/2014 05:30:00 PM,05/27/2014 05:30:00 PM,1508 South Port in Austin (TX),Stray,Normal,Cat,Spayed Female,4 years,Maine Coon Mix,Brown Tabby/White,Cindy,06/05/2014 18:57,06/05/2014 18:57,05/27/2010,Cat,Spayed Female,4 years,Maine Coon Mix,Brown Tabby/White,0
A764307,,12/27/2017 03:22:00 PM,12/27/2017 03:22:00 PM,1911 W Anderson in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Bat Mix,Brown,,12/27/2017 03:40:00 PM,12/27/2017 03:40:00 PM,12/27/2016,Other,Unknown,1 year,Bat Mix,Brown,1
A751677,Miss Miss,06/11/2017 11:16,06/11/2017 11:16,Austin (TX),Owner Surrender,Injured,Cat,Unknown,20 years,Domestic Shorthair Mix,Blue/White,Miss Miss,06/12/2017 11:04,06/12/2017 11:04,06/11/1997,Cat,Unknown,20 years,Domestic Shorthair Mix,Blue/White,1
A690149,*Penny,10/15/2014 07:41:00 AM,10/15/2014 07:41:00 AM,Hwy 71 in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd Mix,Brown/Black,*Penny,02/16/2015 12:44:00 PM,02/16/2015 12:44:00 PM,10/15/2013,Dog,Spayed Female,1 year,German Shepherd Mix,Brown/Black,0
A767256,,02/25/2018 06:44:00 PM,02/25/2018 06:44:00 PM,Royster Ave And Eva Street in Del Valle (TX),Stray,Normal,Dog,Intact Female,3 months,Pit Bull Mix,White/Brown Brindle,,02/27/2018 03:51:00 PM,02/27/2018 03:51:00 PM,11/25/2017,Dog,Intact Female,3 months,Pit Bull Mix,White/Brown Brindle,0
A647241,Blacky,10/09/2016 15:57,10/09/2016 15:57,William Cannon And I 35 in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,German Shepherd Mix,Black,Blacky,10/09/2016 17:38,10/09/2016 17:38,10/09/2011,Dog,Intact Male,5 years,German Shepherd Mix,Black,0
A766980,Bruno,02/20/2018 01:23:00 PM,02/20/2018 01:23:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,9 years,German Shepherd/Pit Bull,Brown/White,Bruno,03/28/2018 07:18:00 PM,03/28/2018 07:18:00 PM,02/20/2009,Dog,Neutered Male,9 years,German Shepherd/Pit Bull,Brown/White,0
A793146,*Clouseau,04/20/2019 11:32:00 AM,04/20/2019 11:32:00 AM,5708 Wellington Drive in Austin (TX),Stray,Normal,Cat,Intact Male,5 days,Domestic Shorthair Mix,Black/White,*Clouseau,06/21/2019 01:31:00 PM,06/21/2019 01:31:00 PM,04/15/2019,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A758610,*Oliver,09/19/2017 12:32:00 PM,09/19/2017 12:32:00 PM,Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,*Oliver,11/01/2017 09:29,11/01/2017 09:29,06/19/2017,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,0
A730398,*Fincher,07/03/2016 17:00,07/03/2016 17:00,6403 Johnny Morris Unit 10 in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,German Shepherd/Labrador Retriever,Tan,*Fincher,07/21/2016 05:34:00 PM,07/21/2016 05:34:00 PM,07/03/2013,Dog,Neutered Male,3 years,German Shepherd/Labrador Retriever,Tan,0
A784558,,11/16/2018 02:13:00 PM,11/16/2018 02:13:00 PM,700 East Live Oak in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Black/White,,11/20/2018 06:03:00 PM,11/20/2018 06:03:00 PM,11/16/2013,Dog,Spayed Female,5 years,Pit Bull Mix,Black/White,0
A614362,Remy,12/07/2013 11:05,12/07/2013 11:05,1422  Briarcliff Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan,Remy,12/16/2013 06:48:00 PM,12/16/2013 06:48:00 PM,08/11/2011,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan,0
A778824,,08/21/2018 10:07:00 AM,08/21/2018 10:07:00 AM,Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon Mix,Black/Gray,,08/22/2018 08:47:00 AM,08/22/2018 08:47:00 AM,08/21/2016,Other,Unknown,2 years,Raccoon Mix,Black/Gray,1
A712153,Rolex,09/18/2015 01:31:00 PM,09/18/2015 01:31:00 PM,6911 Bryn Mawr in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Yorkshire Terrier,Silver/Tan,Rolex,09/18/2015 05:51:00 PM,09/18/2015 05:51:00 PM,09/18/2009,Dog,Neutered Male,6 years,Yorkshire Terrier,Silver/Tan,0
A563380,Jd,11/25/2014 04:35:00 PM,11/25/2014 04:35:00 PM,E Oltorf St & Parker Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Australian Shepherd Mix,Black/Brown,Jd,11/25/2014 06:30:00 PM,11/25/2014 06:30:00 PM,11/30/2009,Dog,Neutered Male,4 years,Australian Shepherd Mix,Black/Brown,0
A727410,Astro,05/22/2016 11:41:00 AM,05/22/2016 11:41:00 AM,S Lamar Blvd And Manchaca Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Red/White,Astro,05/26/2016 05:11:00 PM,05/26/2016 05:11:00 PM,05/21/2015,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White,0
A714800,*Hugo,10/28/2015 11:21:00 AM,10/28/2015 11:21:00 AM,10304 Yellowstone Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,10 years,Domestic Longhair Mix,Silver Tabby,*Hugo,11/23/2015 02:35:00 PM,11/23/2015 02:35:00 PM,10/28/2005,Cat,Neutered Male,10 years,Domestic Longhair Mix,Silver Tabby,0
A701911,*Princess,05/09/2015 11:20,05/09/2015 11:20,Harmon Ave And E 49Th St in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Great Pyrenees Mix,White,*Princess,05/15/2015 11:37:00 AM,05/15/2015 11:37:00 AM,11/14/2014,Dog,Spayed Female,5 months,Great Pyrenees Mix,White,0
A737699,Sadie,11/02/2016 17:40,11/02/2016 17:40,1434 Wells Branch Pkwy in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,White/Brown,Sadie,11/13/2016 04:11:00 PM,11/13/2016 04:11:00 PM,11/02/2015,Dog,Intact Female,1 year,Labrador Retriever Mix,White/Brown,0
A750849,Tom,06/01/2017 11:46,06/01/2017 11:46,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,17 years,Domestic Shorthair Mix,Brown Tabby,Tom,06/13/2017 02:05:00 PM,06/13/2017 02:05:00 PM,06/01/2000,Cat,Neutered Male,17 years,Domestic Shorthair Mix,Brown Tabby,0
A677773,,04/29/2014 11:56:00 AM,04/29/2014 11:56:00 AM,Schebler St & Arrowmound Pass in Del Valle (TX),Stray,Normal,Cat,Intact Female,6 days,Domestic Shorthair Mix,Orange Tabby,,04/29/2014 01:38:00 PM,04/29/2014 01:38:00 PM,04/23/2014,Cat,Intact Female,6 days,Domestic Shorthair Mix,Orange Tabby,0
A735660,Sammie,09/27/2016 10:57:00 AM,09/27/2016 10:57:00 AM,5200 Woodlands Ct in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pug Mix,Brown/Black,Sammie,10/01/2016 14:44,10/01/2016 14:44,09/27/2015,Dog,Intact Male,1 year,Pug Mix,Brown/Black,0
A777964,,08/06/2018 12:56,08/06/2018 12:56,11724 Gammer Street in Del Valle (TX),Stray,Sick,Cat,Intact Male,1 year,Siamese Mix,Lynx Point,,08/06/2018 15:28,08/06/2018 15:28,08/06/2017,Cat,Intact Male,1 year,Siamese Mix,Lynx Point,1
A759146,Papi,09/27/2017 05:11:00 PM,09/27/2017 05:11:00 PM,5811 Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Intact Male,8 years,Chihuahua Shorthair Mix,Brown,Papi,09/28/2017 07:04:00 PM,09/28/2017 07:04:00 PM,09/28/2009,Dog,Intact Male,8 years,Chihuahua Shorthair Mix,Brown,0
A793211,Chubbs,04/21/2019 12:24:00 PM,04/21/2019 12:24:00 PM,Austin (TX),Owner Surrender,Injured,Dog,Intact Male,10 years,Labrador Retriever Mix,Black,Chubbs,04/21/2019 01:55:00 PM,04/21/2019 01:55:00 PM,04/21/2009,Dog,Intact Male,10 years,Labrador Retriever Mix,Black,1
A762108,Lolly,11/14/2017 04:19:00 PM,11/14/2017 04:19:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 years,Shetland Sheepdog,Brown/Tricolor,Lolly,11/15/2017 11:15:00 AM,11/15/2017 11:15:00 AM,11/14/2010,Dog,Spayed Female,7 years,Shetland Sheepdog,Brown/Tricolor,0
A718313,Asner,12/28/2015 02:27:00 PM,12/28/2015 02:27:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,5 years,Rottweiler Mix,Black/Tan,Asner,01/04/2016 13:52,01/04/2016 13:52,12/27/2010,Dog,Neutered Male,5 years,Rottweiler Mix,Black/Tan,0
A692562,Remmie,11/22/2014 04:34:00 PM,11/22/2014 04:34:00 PM,1598 Thornridge Rd in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Great Dane Mix,Brown Brindle,Remmie,11/29/2014 05:13:00 PM,11/29/2014 05:13:00 PM,04/22/2014,Dog,Neutered Male,7 months,Great Dane Mix,Brown Brindle,0
A737539,*Bert,10/31/2016 10:59:00 AM,10/31/2016 10:59:00 AM,1105 Kramer Ln in Austin (TX),Stray,Normal,Cat,Intact Male,5 weeks,Domestic Shorthair Mix,Brown Tabby/White,*Bert,01/12/2017 09:36,01/12/2017 09:36,09/26/2016,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,0
A731895,*Beski,07/29/2016 08:40:00 AM,07/29/2016 08:40:00 AM,Ih 35 And Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Australian Cattle Dog Mix,Chocolate,*Beski,08/03/2016 17:38,08/03/2016 17:38,10/29/2015,Dog,Neutered Male,9 months,Australian Cattle Dog Mix,Chocolate,0
A808098,,11/04/2019 10:58,11/04/2019 10:58,9704 Chukar Circle in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Calico,,11/08/2019 11:00,11/08/2019 11:00,11/04/2018,Cat,Intact Female,1 year,Domestic Shorthair,Calico,0
A800104,,07/16/2019 11:52:00 AM,07/16/2019 11:52:00 AM,8225 North Fm 620 in Austin (TX),Public Assist,Normal,Other,Unknown,1 year,Cold Water,Black,,07/20/2019 09:57:00 AM,07/20/2019 09:57:00 AM,07/16/2018,Other,Unknown,1 year,Cold Water,Black,1
A680147,,05/30/2014 12:05:00 PM,05/30/2014 12:05:00 PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 day,Labrador Retriever Mix,Cream,,05/31/2014 11:22:00 AM,05/31/2014 11:22:00 AM,05/29/2014,Dog,Intact Female,2 days,Labrador Retriever Mix,Cream,0
A668690,Rita,12/07/2013 12:51,12/07/2013 12:51,Grand Ave And Wells Branch Pkwy in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Rottweiler Mix,Black/Tan,Rita,12/11/2013 17:06,12/11/2013 17:06,12/07/2011,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Tan,0
A706818,,07/03/2015 16:15,07/03/2015 16:15,14813 Debba Dr in Travis (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black,,07/04/2015 08:01,07/04/2015 08:01,03/04/2015,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black,1
A731542,Roscoe,09/02/2016 18:44,09/02/2016 18:44,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,Roscoe,09/11/2016 16:08,09/11/2016 16:08,07/23/2014,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,0
A729819,,06/24/2016 12:04:00 PM,06/24/2016 12:04:00 PM,11309 Doyle Overton Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,,06/25/2016 09:00:00 AM,06/25/2016 09:00:00 AM,06/24/2015,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,0
A780418,*Tootsie,09/14/2018 02:36:00 PM,09/14/2018 02:36:00 PM,14600 Fm 812 in Del Valle (TX),Stray,Normal,Dog,Intact Female,2 years,Great Pyrenees Mix,White,*Tootsie,09/25/2018 06:46:00 PM,09/25/2018 06:46:00 PM,09/14/2016,Dog,Spayed Female,2 years,Great Pyrenees Mix,White,0
A687145,,09/01/2014 12:42,09/01/2014 12:42,2301 N River Hills Rd in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue,,09/06/2014 11:58,09/06/2014 11:58,06/16/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue,0
